type,id,session,trial,delay,response,reward,totalvolume,flag,accuracy,normResponse,normAccuracy,lagResponse,lagNormAccuracy,lagReward,lagReward2,lagReward3,lagReward21,lagDelay,rewardRate,lagRewardRate,windowReward
5,41,2,128,6,3.90177438310457,2.8,122.3,0,0.901774383104566,-0.0952649192315208,0.642659966296563,3.14911832114012,1.75759172933549,2.8,1.4,0.7,0,4,0.466666666666667,0.7,2.33333333333333
5,41,2,129,4,2.5825226548186,2.8,125.1,0,0.582522654818604,-0.991342659748068,0.528449539779504,3.90177438310457,0.642659966296563,2.8,2.8,1.4,1.4,6,0.7,0.466666666666667,2.8
5,41,2,130,4,1.96563716164383,1.4,126.5,0,-0.0343628383561736,-1.41035091043248,-0.809788697566815,2.5825226548186,0.528449539779504,2.8,2.8,2.8,2.8,4,0.35,0.7,2.33333333333333
5,41,2,131,4,2.47127770127736,0.7,127.2,0,0.471277701277359,-1.06690377100211,0.287120715892686,1.96563716164383,-0.809788697566815,1.4,2.8,2.8,0,4,0.175,0.35,1.63333333333333
5,41,2,132,6,3.31766946836433,0.7,127.9,0,0.317669468364329,-0.492007558261506,-0.244153726371572,2.47127770127736,0.287120715892686,0.7,1.4,2.8,2.8,4,0.116666666666667,0.175,0.933333333333333
5,41,2,133,6,3.86179827534943,0,127.95,0,0.861798275349429,-0.122417963297198,0.581966486679809,3.31766946836433,-0.244153726371572,0.7,0.7,1.4,2.8,6,0,0.116666666666667,0.466666666666667
5,41,2,134,6,4.08030878113277,0,128,0,1.08030878113277,0.0260013232599337,0.913718717538343,3.86179827534943,0.581966486679809,0,0.7,0.7,0.7,6,0,0,0.233333333333333
5,41,2,135,10,6.41733747528087,2.8,130.8,0,1.41733747528087,1.61338555545299,0.656924844117268,4.08030878113277,0.913718717538343,0,0,0.7,0.7,6,0.28,0,0.933333333333333
5,41,2,136,10,6.71815892504856,0,130.85,0,1.71815892504856,1.81771305355447,0.980877830824001,6.41733747528087,0.656924844117268,2.8,0,0,1.4,10,0,0.28,0.933333333333333
5,41,2,137,4,2.90390292735538,0,130.9,0,0.903902927355375,-0.773050955225913,1.22563463198208,6.71815892504856,0.980877830824001,0,2.8,0,0,10,0,0,0.933333333333333
